sheet_name	field_name	field_label	data_type	is_required	role_category	used_as_ai_input	used_as_ai_output	used_as_human_input	used_as_human_review	used_as_system_control	step_scope	description	example_value	notes
00_Project	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
00_Project	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
00_Project	project_status	project_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	current_step	current_step	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	run_enabled	run_enabled	boolean_or_flag	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
00_Project	rights_status	rights_status	string	N	HUMAN_REVIEW	Y	Y	N	Y	N	all	承認・確認・レビューに使う	APPROVED	role_sync=done
00_Project	title_jp	title_jp	string	Y	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる	桃太郎	role_sync=done
00_Project	title_en	title_en	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	series_name	series_name	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	episode_no	episode_no	number	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	source_title	source_title	string	Y	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる	桃太郎	role_sync=done
00_Project	source_url	source_url	url	Y	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる	https://www.aozora.gr.jp/cards/000329/files/18376_12100.html	role_sync=done
00_Project	target_age	target_age	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	video_format	video_format	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	aspect_short	aspect_short	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	aspect_full	aspect_full	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	short_target_sec	short_target_sec	number	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	full_target_sec	full_target_sec	number	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	visual_style	visual_style	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	owner	owner	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Project	created_at	created_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	updated_at	updated_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	updated_by	updated_by	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Project	notes	notes	string	N	HUMAN_INPUT	Y	N	Y	N	N	all	人が案件起点として入力し、後続AIの入力となる		role_sync=done
00_Rights_Validation	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
00_Rights_Validation	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
00_Rights_Validation	generation_status	generation_status	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	GENERATED	role_sync=done
00_Rights_Validation	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
00_Rights_Validation	step_id	step_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Rights_Validation	is_translation	is_translation	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	original_author	original_author	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	original_author_birth_year	original_author_birth_year	number	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	original_author_death_year	original_author_death_year	number	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	translator	translator	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	translator_birth_year	translator_birth_year	number	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	translator_death_year	translator_death_year	number	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	aozora_rights_note	aozora_rights_note	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	cc_license_present	cc_license_present	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	cc_license_type	cc_license_type	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	public_domain_candidate	public_domain_candidate	datetime	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	original_author_pd_jp	original_author_pd_jp	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	translator_pd_jp	translator_pd_jp	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	other_rights_risk	other_rights_risk	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	war_addition_risk	war_addition_risk	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	rights_evidence_url_1	rights_evidence_url_1	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	rights_evidence_url_2	rights_evidence_url_2	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	rights_evidence_url_3	rights_evidence_url_3	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	rights_summary	rights_summary	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
00_Rights_Validation	rights_status	rights_status	string	N	HUMAN_REVIEW	Y	Y	N	Y	N	all	承認・確認・レビューに使う	APPROVED	role_sync=done
00_Rights_Validation	risk_level	risk_level	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
00_Rights_Validation	checked_by	checked_by	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	checked_date	checked_date	datetime	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
00_Rights_Validation	review_required	review_required	string	N	HUMAN_REVIEW	Y	Y	N	Y	N	all	承認・確認・レビューに使う		role_sync=done
00_Rights_Validation	reviewer	reviewer	string	N	HUMAN_REVIEW	Y	Y	N	Y	N	all	承認・確認・レビューに使う		role_sync=done
00_Rights_Validation	review_date	review_date	datetime	N	HUMAN_REVIEW	Y	Y	N	Y	N	all	承認・確認・レビューに使う		role_sync=done
00_Rights_Validation	go_next	go_next	string	N	HUMAN_REVIEW	Y	Y	N	Y	N	all	承認・確認・レビューに使う		role_sync=done
00_Rights_Validation	updated_at	updated_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Rights_Validation	updated_by	updated_by	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
00_Rights_Validation	notes	notes	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
01_Source	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
01_Source	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
01_Source	generation_status	generation_status	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	GENERATED	role_sync=done
01_Source	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
01_Source	step_id	step_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
01_Source	source_title	source_title	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列	桃太郎	role_sync=done
01_Source	author	author	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
01_Source	translator	translator	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
01_Source	source_url	source_url	url	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列	https://www.aozora.gr.jp/cards/000329/files/18376_12100.html	role_sync=done
01_Source	source_type	source_type	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
01_Source	copyright_status	copyright_status	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
01_Source	credit_text	credit_text	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
01_Source	base_text_notes	base_text_notes	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
01_Source	language_style	language_style	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
01_Source	original_text	original_text	string	N	REFERENCE	Y	N	N	N	N	all	運用上の補助列		role_sync=done
01_Source	difficult_terms	difficult_terms	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
01_Source	adaptation_policy	adaptation_policy	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
01_Source	legal_check_status	legal_check_status	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
01_Source	legal_check_notes	legal_check_notes	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
01_Source	updated_at	updated_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
01_Source	updated_by	updated_by	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
01_Source	notes	notes	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
02_Scenes	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
02_Scenes	generation_status	generation_status	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	GENERATED	role_sync=done
02_Scenes	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
02_Scenes	step_id	step_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
02_Scenes	scene_no	scene_no	number	N	SYSTEM_CONTROL	Y	N	N	N	N	all	運用上の補助列	1	role_sync=done
02_Scenes	scene_type	scene_type	string	Y	HUMAN_INPUT	Y	N	N	N	N	all	生成されたシーンに対してユーザーが後続処理用にタイプ分別	normal,thought_bubble	role_sync=done
02_Scenes	chapter	chapter	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	scene_title	scene_title	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
02_Scenes	scene_summary	scene_summary	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる	おばあさんが川で大きな桃を見つける	role_sync=done
02_Scenes	scene_goal	scene_goal	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
02_Scenes	visual_focus	visual_focus	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
02_Scenes	emotion	emotion	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
02_Scenes	short_use	short_use	boolean_or_flag	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	full_use	full_use	boolean_or_flag	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	est_duration_short	est_duration_short	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	est_duration_full	est_duration_full	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	difficult_words	difficult_words	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	easy_rewrite	easy_rewrite	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	qa_seed	qa_seed	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
02_Scenes	continuity_note	continuity_note	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
02_Scenes	updated_at	updated_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
02_Scenes	updated_by	updated_by	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
02_Scenes	notes	notes	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
03_Script_Short	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
03_Script_Short	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
03_Script_Short	generation_status	generation_status	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	GENERATED	role_sync=done
03_Script_Short	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
03_Script_Short	step_id	step_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
03_Script_Short	scene_no	scene_no	number	N	SYSTEM_CONTROL	Y	N	N	N	N	all	運用上の補助列	1	role_sync=done
03_Script_Short	related_version	related_version	string	N	SYSTEM_CONTROL	Y	N	N	N	N	all	運用上の補助列	short	role_sync=done
03_Script_Short	duration_sec	duration_sec	number	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
03_Script_Short	narration_draft	narration_draft	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
03_Script_Short	narration_tts	narration_tts	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
03_Script_Short	subtitle_short_1	subtitle_short_1	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
03_Script_Short	subtitle_short_2	subtitle_short_2	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
03_Script_Short	emphasis_word	emphasis_word	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
03_Script_Short	emotion	emotion	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
03_Script_Short	transition_note	transition_note	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
03_Script_Short	hook_flag	hook_flag	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
03_Script_Short	tts_ready	tts_ready	boolean_or_flag	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
03_Script_Short	updated_at	updated_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
03_Script_Short	updated_by	updated_by	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
03_Script_Short	notes	notes	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
04_Script_Full	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
04_Script_Full	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
04_Script_Full	generation_status	generation_status	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	GENERATED	role_sync=done
04_Script_Full	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
04_Script_Full	step_id	step_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
04_Script_Full	scene_no	scene_no	number	N	SYSTEM_CONTROL	Y	N	N	N	N	all	運用上の補助列	1	role_sync=done
04_Script_Full	related_version	related_version	string	N	SYSTEM_CONTROL	Y	N	N	N	N	all	運用上の補助列	short	role_sync=done
04_Script_Full	duration_sec	duration_sec	number	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
04_Script_Full	narration_draft	narration_draft	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
04_Script_Full	narration_tts	narration_tts	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
04_Script_Full	subtitle_short_1	subtitle_short_1	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
04_Script_Full	subtitle_short_2	subtitle_short_2	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
04_Script_Full	visual_emphasis	visual_emphasis	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
04_Script_Full	pause_hint	pause_hint	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
04_Script_Full	emotion	emotion	string	N	AI_OUTPUT	Y	Y	N	N	N	all	AI生成結果であり、後続AIの入力にもなる		role_sync=done
04_Script_Full	tts_ready	tts_ready	boolean_or_flag	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
04_Script_Full	updated_at	updated_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
04_Script_Full	updated_by	updated_by	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
04_Script_Full	notes	notes	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
05_Visual_Bible	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
05_Visual_Bible	generation_status	generation_status	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	GENERATED	role_sync=done
05_Visual_Bible	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
05_Visual_Bible	step_id	step_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
05_Visual_Bible	category	category	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	key_name	key_name	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	description	description	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	color_palette	color_palette	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	line_style	line_style	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	lighting	lighting	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	composition_rule	composition_rule	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	crop_rule	crop_rule	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	expression_rule	expression_rule	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	character_rule	character_rule	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	background_rule	background_rule	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	avoid_rule	avoid_rule	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	reference_note	reference_note	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
05_Visual_Bible	updated_at	updated_at	datetime	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
05_Visual_Bible	updated_by	updated_by	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
05_Visual_Bible	notes	notes	string	N	HUMAN_REVIEW	Y	N	N	N	N	all	運用上の補助列		role_sync=done
06_Image_Prompts	project_id	project_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01	role_sync=done
06_Image_Prompts	record_id	record_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	PJT-01-SC-001	role_sync=done
06_Image_Prompts	generation_status	generation_status	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う	GENERATED	role_sync=done
06_Image_Prompts	approval_status	approval_status	string	Y	HUMAN_REVIEW	Y	N	N	N	Y	all	システム制御または案件識別に使う	PENDING	role_sync=done
06_Image_Prompts	step_id	step_id	string	Y	SYSTEM_CONTROL	Y	N	N	N	Y	all	システム制御または案件識別に使う		role_sync=done
06_Image_Prompts	scene_no	scene_no	number	N	SYSTEM_CONTROL	Y	N	N	N	N	all	運用上の補助列	1	role_sync=done
06_Image_Prompts	related_version	related_version	string	N	SYSTEM_CONTROL	Y	N	N	N	N	all	運用上の補助列	short	role_sync=done
06_Image_Prompts	prompt_base	prompt_base	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
06_Image_Prompts	prompt_character	prompt_character	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
06_Image_Prompts	character_refs	character_refs	string	N	AI_OUTPUT	Y	N	N	N	N	all	カンマ区切りのVB key_nameリスト。STEP_07Bのキャラクターシートフィルタに使用		role_sync=done
06_Image_Prompts	prompt_scene	prompt_scene	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
06_Image_Prompts	prompt_composition	prompt_composition	string	N	AI_OUTPUT	Y	N	N	N	N	all	運用上の補助列		role_sync=done
